用户ID,年龄,性别,所在城市,职业,教育程度,婚姻状况,月工资收入,经营性收入,被动收入,月总流入,月总流出,储蓄率,活期存款,理财产品,股票基金,房产估值,总资产,净资产,信用卡欠款,房贷余额,其他贷款,总负债,负债率,养老金账户余额,缴纳年限,住房公积金余额,商业保险年缴,保险保额,风险偏好,计划退休年龄,目标养老金,期望收益率下限,期望收益率上限,期望退休后的月开销,健康状况,平台月访问次数,策略采纳率,交互问答次数,个性化设置次数,反馈积极度,信任评分,住房固定支出消费,家庭公共事业消费,家居家装消费,日用杂货消费,家庭服务消费,餐饮食品消费,日常通勤消费,私家车消费消费,长途差旅消费,服饰鞋履消费,美妆护肤消费,文娱消费,运动健身消费,兴趣爱好消费,教育培训消费,书籍文具消费,求医问药消费,保健养生消费,电子设备与通信消费,礼品礼金消费,公益慈善消费,意外杂项消费,保险消费,投资理财消费,贷款利息消费
U000118,44,女,北京,程序员,博士,已婚,15960.72,12828.45,6183.49,34972.659999999996,34202.57,0.02,433349.93,2242822.5,36294.72,2784143.25,5496610.4,4241355.71,14646.7,1180337.85,60270.14,1255254.69,0.23,17301.04,14,57212.04,27294.46,61638.3,保守,60,2900604.94,0.017,0.083,10563,优,25,0.78,9,4,0.51,87.65,1201.26,370.12,3362.31,1940.62,3125.12,3361.67,2369.68,993.41,1619.61,300.2,1923.19,339.27,2033.51,447.99,214.78,310.29,3.42,2178.58,2264.1,1242.55,302.24,149.85,33.17,311.24,3804.37
U000119,24,男,合肥,市场营销,硕士,离异,10671.26,2737.63,170.25,13579.14,9573.65,0.29,400372.46,1597062.16,105868.47,452814.02,2556117.11,2407384.58,83442.97,28491.02,36798.54,148732.53,0.06,123376.98,1,0.0,4932.94,1599320.11,平衡,56,4331244.75,0.057,0.12,6866,良,14,0.62,4,9,0.77,46.29,127.18,370.35,473.27,142.36,30.07,250.82,134.94,125.36,1626.06,484.41,411.6,271.8,283.33,393.69,602.87,612.48,95.26,350.64,268.51,1033.8,504.74,384.52,62.01,470.55,63.04
U000120,39,男,成都,教师,博士,未婚,12024.49,5702.74,698.09,18425.32,12837.83,0.3,335244.25,968620.93,329711.13,2080374.39,3713950.7,2682611.35,19506.56,850292.84,161539.95,1031339.3500000001,0.28,191731.78,5,724.78,7803.75,443051.41,平衡,68,1745059.26,0.028,0.101,8994,良,10,0.8,29,14,0.55,49.86,92.19,704.49,138.15,297.46,1351.84,136.7,423.98,325.05,10.94,941.32,42.79,384.54,491.95,592.12,697.84,174.68,6.0,768.76,458.82,1081.72,1030.24,1108.62,397.0,242.77,937.87
U000121,49,女,郑州,自由职业,高中,已婚,13842.26,14670.89,6266.19,34779.340000000004,33517.29,0.04,704763.1,2931076.09,315813.25,2437927.2,6389579.640000001,5107549.8,85677.32,1153800.38,42552.14,1282029.8399999999,0.2,7331.26,8,81520.4,34655.87,944207.9,激进,59,2146183.84,0.021,0.106,13262,良,23,0.79,4,14,0.65,35.89,2703.47,792.6,99.36,619.42,2054.0,2928.98,287.15,87.5,2648.69,622.68,985.0,4347.21,86.95,1319.06,97.19,594.2,2055.78,717.23,7411.61,1033.57,488.95,313.79,544.76,588.28,89.86
U000122,48,女,南京,金融分析师,博士,已婚,16991.06,3184.45,5663.57,25839.08,22813.49,0.12,680312.22,497076.78,366002.24,2817525.77,4360917.01,3166457.17,5901.29,1142208.57,46349.98,1194459.84,0.27,52871.42,7,6421.27,7113.03,1815452.19,积极,66,2246418.99,0.056,0.113,9236,差,1,0.88,10,3,0.79,63.89,653.53,1343.35,1119.71,1291.86,8.8,257.06,1134.94,692.86,5.58,1709.22,1551.93,832.53,72.02,1523.31,917.75,1594.98,1459.08,1701.25,764.28,158.34,1164.68,1014.57,1419.78,194.98,227.12
U000123,27,男,合肥,市场营销,大专,丧偶,14289.73,5031.73,1945.35,21266.809999999998,15130.26,0.29,231330.06,1920506.4,172516.16,396328.73,2720681.35,2450689.08,92265.88,1319.54,176406.85,269992.27,0.1,87979.74,1,11563.23,18081.7,423034.21,保守,60,1208108.09,0.04,0.109,14064,良,21,0.28,21,3,0.64,61.12,1010.69,646.32,754.72,1563.45,614.66,711.38,120.97,456.59,895.81,224.63,160.63,267.73,196.49,172.0,393.2,1694.84,502.84,147.97,56.94,846.81,343.03,1226.25,765.86,1130.85,225.61
U000124,20,女,大连,学生,博士,未婚,768.96,4453.99,293.73,5516.68,3768.83,0.32,461223.44,1033281.39,202728.16,484621.84,2181854.83,1803172.13,57386.04,175701.8,145594.86,378682.69999999995,0.17,0.0,0,0.0,15769.67,942826.91,稳健,70,1267550.53,0.052,0.096,11632,差,25,0.57,11,8,0.42,74.56,59.3,541.13,195.65,75.87,60.73,40.97,229.42,47.73,174.95,59.45,209.76,326.28,291.1,276.69,40.21,17.9,232.17,88.85,109.51,6.12,58.12,6.63,408.75,53.94,157.61
U000125,27,女,天津,程序员,博士,未婚,13686.03,4046.97,1719.18,19452.18,16576.75,0.15,239283.16,351468.81,48149.29,237934.59,876835.85,648321.08,63933.81,7807.31,156773.65,228514.77,0.26,100665.84,0,13978.49,18528.93,1803969.51,积极,55,4536360.29,0.049,0.099,8886,良,16,0.44,2,13,0.46,82.15,952.69,914.42,164.27,965.32,2321.9,728.65,777.98,119.55,358.9,29.07,41.64,2841.28,165.1,575.73,686.06,814.96,2523.33,115.4,17.2,221.12,58.18,9.47,186.6,639.28,348.65
U000126,29,女,成都,教师,本科,丧偶,13009.66,5665.33,1753.53,20428.519999999997,16431.14,0.2,111522.4,1737414.65,394711.24,288993.57,2532641.86,2378216.07,12725.49,10791.08,130909.22,154425.79,0.06,137553.35,5,61326.76,3058.94,852143.18,平衡,63,1675863.03,0.037,0.094,8807,一般,19,0.32,25,6,0.59,80.95,589.8,146.57,8.04,802.51,542.71,797.7,22.05,1007.56,536.52,460.12,543.99,1109.47,490.89,482.9,2595.88,784.84,324.2,682.32,273.74,144.3,504.38,1462.21,1469.66,232.3,416.46
U000127,42,女,长沙,个体商户,博士,离异,18276.52,2761.37,8638.31,29676.199999999997,19572.73,0.34,165435.34,2427638.71,474622.59,300835.85,3368532.4899999998,1961122.03,68118.03,1179121.68,160170.75,1407410.46,0.42,122805.07,1,24110.7,31444.99,10581.27,激进,57,4204649.59,0.034,0.096,10856,优,2,0.15,7,11,0.36,32.45,49.37,546.15,1011.43,1019.06,420.51,2559.04,164.91,624.78,1057.14,1075.54,941.8,289.92,152.94,909.83,823.49,177.98,1099.65,546.82,992.19,1635.42,167.48,17.41,1359.7,847.16,1083.01
U000128,58,女,天津,退休人员,本科,已婚,658.46,4034.14,6568.84,11261.44,11283.46,-0.0,251685.73,131076.47,299757.46,1547440.89,2229960.55,1930066.6,38457.38,254224.34,7212.23,299893.94999999995,0.13,47851.33,0,146346.89,3247.92,551873.74,激进,69,2089074.49,0.03,0.095,13052,良,16,0.11,2,2,0.68,77.2,708.03,1413.86,334.8,292.35,224.14,72.77,370.7,141.45,1108.62,381.63,391.85,191.18,23.28,14.07,240.06,38.53,407.11,928.17,935.34,469.23,103.48,866.83,947.35,95.49,583.15
U000129,42,男,西安,制造业工人,本科,丧偶,19086.07,93.03,1750.35,20929.449999999997,17855.31,0.15,402214.11,1559824.42,169982.95,351026.99,2483048.4699999997,1920147.29,68780.42,386540.08,107580.68,562901.1799999999,0.23,158677.85,8,104128.78,31493.41,1126337.21,平衡,62,3908629.78,0.058,0.088,18224,优,14,0.82,0,15,0.38,34.39,19.7,1471.12,629.74,2343.23,404.2,1214.75,41.63,263.9,44.83,2392.67,1097.32,1236.98,1796.46,57.48,314.77,47.61,152.97,168.36,409.17,202.09,68.79,118.46,102.95,2335.85,920.29
U000130,50,女,大连,律师,高中,未婚,16105.27,5745.79,3989.31,25840.370000000003,25178.7,0.03,273594.3,1940930.26,89242.87,941618.34,3245385.77,2315475.03,32784.92,860568.93,36556.89,929910.7400000001,0.29,149231.25,6,74849.9,6988.33,1470858.13,积极,63,1430503.85,0.02,0.075,15594,一般,19,0.38,3,3,0.94,73.93,940.65,529.69,2599.32,641.17,577.68,429.65,225.51,481.14,712.77,1819.82,104.9,383.77,2688.08,258.0,681.16,3247.18,273.3,140.22,1075.96,584.73,1345.59,2644.31,239.5,1411.2,1143.4
U000131,43,女,成都,制造业工人,博士,离异,17649.4,17375.38,4908.05,39932.83,43614.53,-0.09,668684.99,882839.86,111046.39,1729995.56,3392566.8,2090633.75,7364.15,1198904.88,95664.02,1301933.0499999998,0.38,108153.59,16,52093.34,28307.16,1551807.93,稳健,69,4894282.38,0.045,0.088,8497,一般,22,0.11,6,12,0.71,51.15,1080.42,138.63,993.72,590.91,2790.41,94.73,875.71,990.28,2084.61,1378.95,1776.59,2423.37,3200.32,608.26,1246.95,2960.19,7349.75,3557.08,749.82,350.59,1085.34,2185.37,1095.41,1065.81,2941.33
U000132,45,女,宁波,公务员,本科,离异,13987.84,7318.48,4987.7,26294.02,18544.28,0.29,525534.47,1210006.29,427163.04,838888.6,3001592.4,2664520.61,25184.49,196708.75,115178.55,337071.79,0.11,45713.35,3,108122.32,26936.93,1110680.09,激进,67,1382284.46,0.05,0.104,9176,优,15,0.74,5,13,0.65,94.71,1960.08,521.02,396.92,603.71,1434.02,134.36,218.17,3018.02,192.52,836.75,863.86,671.05,1032.51,260.53,802.57,464.41,1081.21,151.89,844.05,204.42,325.86,246.23,201.45,1742.98,335.68
U000133,28,男,成都,程序员,本科,丧偶,10285.41,4309.35,508.58,15103.34,15397.64,-0.02,55855.09,1787023.73,129884.56,180153.29,2152916.67,1862991.33,59094.1,162003.18,68828.06,289925.33999999997,0.13,82352.18,2,130105.29,27352.51,397916.22,激进,60,4907179.1,0.024,0.08,9273,差,16,0.49,28,2,0.57,48.62,1148.34,329.02,65.41,584.67,1340.15,1141.95,138.33,802.66,178.99,176.88,1488.84,206.39,219.51,0.47,1469.68,1130.31,709.24,996.87,118.51,440.52,310.88,70.75,478.39,1821.5,29.38
U000134,47,女,福州,教师,高中,未婚,18061.62,3239.99,2282.18,23583.79,17886.87,0.24,224344.39,896032.51,322322.15,813744.3,2256443.3499999996,825535.28,64065.37,1294209.73,72632.97,1430908.07,0.63,117383.95,14,62098.36,6270.52,46202.18,积极,62,3479101.47,0.057,0.102,8640,优,2,0.27,12,3,0.37,90.89,161.34,188.65,1658.15,437.82,435.51,991.49,116.4,463.31,389.86,630.19,5356.89,1017.68,351.84,1219.08,129.83,21.46,158.64,288.63,495.59,662.26,1674.79,494.56,482.53,35.75,24.65
U000135,20,女,天津,学生,硕士,已婚,1397.38,1949.23,458.71,3805.32,3686.58,0.03,221580.21,252823.41,263371.17,85303.99,823078.78,565492.1,3163.95,71368.25,183054.48,257586.68,0.31,0.0,0,0.0,14055.19,544828.86,保守,69,1108017.09,0.057,0.092,13065,差,18,0.58,40,13,0.67,71.57,36.82,5.32,125.29,56.99,10.7,271.04,24.87,197.01,69.35,40.05,100.39,339.8,104.62,292.02,28.18,311.45,56.84,237.78,175.34,556.38,102.97,14.39,4.07,368.59,156.35
U000136,32,男,郑州,自由职业,博士,离异,19574.09,3114.35,105.56,22794.0,19640.64,0.14,470141.94,354381.18,143381.12,1605296.66,2573200.9,1605803.1,78405.78,737897.48,151094.54,967397.8,0.38,59922.1,6,119694.72,17671.31,1593534.77,平衡,66,1348569.41,0.054,0.086,12374,一般,7,0.23,24,12,0.45,35.15,164.96,261.36,18.88,2011.17,680.64,1671.07,190.54,583.78,700.73,235.93,1163.76,1815.8,1334.79,829.62,200.68,204.24,2041.88,6.38,777.42,756.46,601.88,2850.51,230.82,256.56,50.78
U000137,27,女,广州,医生,大专,未婚,8481.55,2732.48,220.71,11434.739999999998,9464.21,0.17,258077.32,1646110.61,245998.01,160321.86,2310507.8000000003,2096314.85,15823.53,193943.24,4426.18,214192.94999999998,0.09,194466.52,2,40379.27,20097.01,1454214.14,平衡,62,905886.42,0.011,0.073,9041,差,13,0.35,31,11,0.62,81.44,670.0,1020.65,76.51,173.54,983.06,23.76,36.09,66.17,336.78,60.73,1282.65,220.41,259.25,105.47,237.1,403.84,517.99,522.04,321.18,874.05,633.24,526.89,21.3,2.57,88.94
U000138,25,男,天津,医生,高中,已婚,11822.59,960.96,1683.08,14466.63,14591.41,-0.01,455538.63,274413.5,384072.84,124481.18,1238506.15,925267.63,77122.53,88592.19,147523.8,313238.52,0.25,6702.06,3,0.0,2583.91,1332015.77,保守,61,2627714.95,0.044,0.079,11397,良,10,0.23,2,3,0.48,71.5,361.32,351.21,1472.96,1541.13,1636.4,256.97,801.27,216.21,144.26,139.24,285.63,383.41,1212.59,87.12,905.75,517.17,231.66,463.12,243.26,618.42,388.08,122.53,84.56,539.73,1587.41
U000139,41,女,苏州,程序员,大专,未婚,19991.12,3347.21,2761.0,26099.329999999998,17220.99,0.34,560292.08,27236.06,20996.68,2350425.72,2958950.54,1927616.65,62735.73,894318.43,74279.73,1031333.89,0.35,17895.98,5,74987.88,22156.01,676844.19,积极,56,768988.09,0.042,0.102,11359,一般,25,0.19,15,7,0.52,66.29,1916.12,1229.14,597.41,764.61,1633.78,364.42,282.73,7.77,1251.73,1153.47,78.83,614.51,445.56,90.29,2815.77,172.69,49.73,645.55,959.39,23.57,768.13,542.96,77.88,135.31,599.67
U000140,50,男,青岛,程序员,高中,丧偶,15461.05,9706.04,4375.0,29542.09,22078.5,0.25,557630.22,664215.43,93313.36,1042994.04,2358153.05,1669036.08,109860.36,412986.69,166269.92,689116.97,0.29,182894.8,17,24051.51,18589.81,898768.4,稳健,63,2937226.78,0.033,0.107,8679,差,16,0.4,5,0,0.73,53.66,2417.81,1482.27,3565.86,260.95,3035.48,489.76,370.58,44.84,47.05,1022.15,531.48,222.93,826.13,253.0,748.05,386.27,1505.62,1491.68,563.15,374.98,390.82,1422.04,345.23,203.56,76.8
U000141,48,女,上海,制造业工人,本科,丧偶,13041.96,5662.58,4098.05,22802.59,17353.05,0.24,75079.91,2240229.5,21888.63,2813398.61,5150596.65,5056193.73,26081.26,46910.63,21411.03,94402.92,0.02,38323.33,1,85651.83,28768.7,1315842.52,平衡,63,720885.32,0.021,0.103,13086,优,0,0.84,6,15,0.95,84.09,169.69,325.49,1121.34,1177.51,329.47,417.06,245.24,1829.87,85.71,1842.0,781.5,514.65,22.53,438.05,355.48,119.31,724.98,2406.19,560.52,851.27,48.12,366.94,83.95,643.88,1892.3
U000142,50,男,福州,市场营销,博士,丧偶,9503.53,813.06,703.88,11020.47,8286.87,0.25,755682.79,3362053.61,48559.63,2175515.8,6341811.83,5872633.65,79749.16,284190.62,105238.4,469178.18000000005,0.07,49752.61,20,142125.5,19544.82,1116283.21,平衡,58,3948275.39,0.039,0.1,11383,一般,13,0.81,5,5,0.68,62.81,39.02,213.87,390.64,252.06,875.84,823.1,462.09,228.3,143.96,54.65,214.05,260.28,550.06,524.15,35.49,245.6,97.97,83.29,857.57,20.91,265.31,89.93,1032.62,397.62,128.5
U000143,41,女,福州,公务员,博士,已婚,21464.8,8246.87,6332.41,36044.08,36515.45,-0.01,229650.15,734203.8,272813.12,1125189.22,2361856.29,1100355.55,72631.51,1116867.52,72001.71,1261500.74,0.53,90480.69,12,29.34,1119.61,568964.34,保守,55,2829242.11,0.06,0.078,15242,优,9,0.89,6,10,0.32,83.43,313.14,2732.59,3423.63,3120.89,1268.74,1249.59,649.07,1755.29,952.85,1422.73,703.43,1653.38,2187.87,199.1,2249.97,977.24,2341.56,709.7,599.15,3100.59,363.7,2337.89,832.03,907.54,463.8
U000144,38,女,深圳,医生,大专,未婚,15655.2,5299.76,8896.25,29851.21,21639.99,0.28,174245.81,870877.05,285243.58,1707194.81,3037561.25,2829423.39,27397.1,115802.35,64938.41,208137.86000000002,0.07,96506.63,15,123855.79,21653.29,1152464.92,积极,58,3178540.41,0.025,0.104,10707,优,18,0.41,3,10,0.54,83.11,279.98,28.51,225.96,4.56,2728.23,2401.53,357.87,927.67,302.04,791.48,1165.16,2087.56,363.85,1088.48,220.05,3301.92,18.58,658.5,766.84,829.15,91.3,1985.3,142.28,693.88,179.3
U000145,26,男,宁波,公务员,硕士,已婚,14551.81,10798.59,299.16,25649.56,21832.93,0.15,123646.42,116195.57,365789.29,196441.35,802072.63,536647.46,45452.86,119026.44,100945.87,265425.17,0.33,44417.13,2,117955.24,4114.74,672336.36,激进,70,3071482.66,0.012,0.084,9584,良,2,0.42,27,4,0.83,61.26,187.81,201.62,582.44,1522.81,2454.84,94.52,537.12,113.61,18.0,1165.75,992.11,191.4,286.45,25.81,1937.57,3954.3,156.55,283.17,2181.25,2807.13,585.18,55.87,43.22,917.65,536.75
U000146,30,女,北京,企业管理,本科,未婚,8390.55,6468.23,1848.28,16707.059999999998,10772.67,0.36,403048.53,1058851.51,174153.93,160369.18,1796423.15,1633822.64,65326.49,36310.25,60963.77,162600.50999999998,0.09,197530.38,7,93477.32,12773.44,1848426.41,平衡,62,1398583.46,0.029,0.105,5683,差,27,0.17,3,7,0.96,90.24,396.89,5.15,702.04,165.92,18.63,402.48,229.89,1651.47,356.28,145.97,560.44,143.63,1063.77,212.92,361.95,23.53,251.82,809.84,742.79,115.18,116.21,770.84,1208.43,45.44,271.14
U000147,41,女,西安,律师,硕士,未婚,18725.95,14800.26,2118.75,35644.96,31125.61,0.13,532752.16,1673840.17,311521.0,2976906.38,5495019.71,4325558.12,91749.39,1002390.87,75321.33,1169461.59,0.21,181208.06,16,6522.3,5501.32,568027.08,平衡,63,738883.62,0.043,0.061,6582,差,12,0.63,11,3,0.31,86.38,499.39,2940.16,110.88,1428.43,1228.92,857.21,1056.74,1589.67,370.59,1787.03,3447.15,3006.64,351.92,340.37,657.46,943.33,1105.59,2397.44,122.87,74.31,1047.5,2515.52,452.69,2160.22,633.58
U000148,54,女,杭州,教师,高中,丧偶,17692.38,3728.35,5006.51,26427.239999999998,21908.0,0.17,778133.98,79507.3,123696.07,1588246.09,2569583.4400000004,1895378.66,52704.0,590099.73,31401.05,674204.78,0.26,69355.98,22,53306.72,10944.21,1991988.82,激进,67,1741452.26,0.013,0.075,13698,良,12,0.81,0,8,0.46,52.22,1520.7,237.36,175.83,356.46,185.1,750.74,1176.71,752.2,1170.11,340.3,114.36,900.98,300.74,748.46,212.32,57.0,3299.1,114.26,2999.55,2546.07,1062.29,724.64,580.12,1352.71,229.88
U000149,35,男,青岛,医生,硕士,丧偶,21844.96,8529.3,3123.83,33498.09,30238.2,0.1,291959.97,362373.36,326236.32,1743092.1,2723661.75,2310488.63,82085.84,303465.35,27621.93,413173.11999999994,0.15,137706.42,8,136434.41,13116.96,1818004.19,平衡,59,3453042.89,0.038,0.069,9541,差,2,0.55,7,5,0.52,87.18,525.34,377.63,782.42,1790.59,211.99,2566.49,1100.42,1632.53,765.2,1424.15,15.38,1606.8,38.59,2078.38,4543.62,328.02,222.42,1365.55,274.79,1890.15,102.22,126.81,3645.76,1055.32,1767.63
U000150,50,男,南京,医生,硕士,已婚,16147.07,15582.16,1067.71,32796.94,22707.72,0.31,609957.99,2141935.59,133431.31,1701129.28,4586454.17,4066068.09,34636.7,348273.8,137475.58,520386.07999999996,0.11,71852.27,22,116973.94,4693.03,1692276.47,稳健,70,3704086.08,0.029,0.111,8896,良,15,0.48,5,6,0.46,56.56,1235.05,987.15,1011.45,1255.7,937.37,613.39,353.34,1601.7,280.75,1290.1,290.79,1074.39,1504.46,270.12,67.65,153.64,1019.33,2072.19,50.39,1449.9,456.93,712.57,2892.63,441.51,685.23
U000151,25,女,厦门,制造业工人,硕士,已婚,9787.44,2449.71,649.79,12886.940000000002,10680.34,0.17,135731.11,910950.23,20913.14,367665.89,1435260.37,1212342.48,38037.42,62579.5,122300.97,222917.89,0.16,148493.57,0,0.0,12419.26,1654020.2,积极,56,4450009.72,0.022,0.092,10525,一般,23,0.13,24,1,0.43,58.57,76.17,139.24,432.59,1333.77,20.53,877.29,341.31,329.34,275.28,28.54,37.37,364.51,165.46,988.95,207.09,61.37,497.73,137.79,295.81,474.91,914.77,623.47,447.67,451.7,1157.69
U000152,36,女,广州,个体商户,博士,丧偶,20934.26,10339.39,1422.4,32696.05,33184.75,-0.01,298120.74,2023411.02,56585.79,2336193.43,4714310.98,3528661.66,114416.78,1044171.21,27061.33,1185649.32,0.25,82711.86,7,3736.82,13973.37,1793235.01,激进,61,4471468.01,0.015,0.079,8675,良,20,0.83,10,3,0.36,75.9,2.0,571.63,442.62,1952.69,1808.82,1621.05,29.49,2349.99,703.96,1969.93,1464.64,755.82,260.31,178.62,3207.47,4513.15,1889.65,196.64,926.1,2351.06,2725.5,226.59,0.06,2242.75,794.21
U000153,32,男,合肥,程序员,硕士,丧偶,17910.6,15365.21,9122.53,42398.34,37426.96,0.12,408908.81,390233.31,434409.27,536600.29,1770151.6800000002,997702.07,81173.41,629372.54,61903.66,772449.6100000001,0.44,153726.08,7,43317.08,5348.6,1797083.83,积极,61,515898.04,0.048,0.061,15226,差,15,0.78,34,0,0.73,62.08,1245.6,1078.91,132.74,1188.68,713.8,1395.18,735.02,410.41,149.0,564.79,151.78,290.71,6524.25,876.83,1133.44,3088.82,8092.37,1305.12,2499.55,591.23,544.93,769.56,1666.96,1711.78,565.49
U000154,18,女,青岛,学生,本科,丧偶,821.01,3098.83,1115.1,5034.9400000000005,5098.51,-0.01,23481.02,281686.72,326638.44,18360.53,650166.71,275735.19,73429.32,133399.31,167602.89,374431.52,0.58,0.0,0,0.0,10590.71,356496.78,保守,64,3249903.9,0.045,0.096,7191,差,25,0.55,29,11,0.95,36.05,242.18,33.24,209.07,286.11,291.86,338.87,499.12,167.72,317.08,233.63,49.99,6.3,81.03,141.63,232.32,459.04,52.87,32.47,800.99,27.67,157.55,213.16,188.64,21.77,14.21
U000155,47,女,宁波,自由职业,大专,已婚,17988.39,9416.34,1220.23,28624.96,29475.23,-0.03,253490.57,1386089.0,104922.68,627152.94,2371655.19,1310356.01,8378.58,857050.61,195869.99,1061299.18,0.45,105789.32,2,72549.45,23483.11,1867783.35,平衡,64,2421741.22,0.052,0.076,10498,良,18,0.9,11,4,0.73,62.27,360.71,1375.84,2323.82,57.54,934.06,1583.78,393.95,498.37,1288.45,3091.99,2249.52,1185.48,1775.08,614.9,1387.83,850.45,285.39,1639.09,1101.47,601.74,3282.74,28.66,514.12,79.34,1970.9
U000156,18,女,宁波,学生,高中,已婚,1195.1,3687.34,414.66,5297.1,4807.93,0.09,199023.4,86435.16,174825.02,403021.76,863305.34,578917.21,18261.06,128123.66,138003.41,284388.13,0.33,0.0,0,0.0,12869.92,647847.68,积极,55,1012265.43,0.027,0.084,11713,良,18,0.59,1,5,0.44,84.2,74.6,208.68,93.42,261.62,112.22,98.51,505.82,53.54,23.79,162.79,645.75,87.95,11.87,76.81,130.68,32.74,198.91,1129.91,111.39,81.19,94.89,22.67,398.09,99.31,90.78
U000157,44,女,上海,公务员,本科,丧偶,14672.94,9249.4,8141.67,32064.010000000002,34112.74,-0.06,41456.49,1667434.32,282471.32,2034592.87,4025955.0,3805783.37,76614.45,28077.65,115479.53,220171.63,0.05,66343.86,11,9931.96,4956.92,1681478.31,保守,65,4926284.46,0.041,0.111,11277,差,18,0.58,5,3,0.91,78.85,97.46,2582.61,4336.58,1607.94,4750.97,252.35,997.33,1415.1,1339.53,788.78,634.11,208.42,764.02,272.82,2037.22,359.98,92.75,1235.24,1389.93,3158.17,1322.16,651.37,2496.68,1194.29,126.94
U000158,51,女,郑州,金融分析师,高中,未婚,24059.78,16589.15,3026.29,43675.22,37672.07,0.14,141760.32,1328465.7,18697.52,606295.24,2095218.78,1162345.85,14075.83,758992.04,159805.06,932872.9299999999,0.45,180991.16,4,28531.75,32604.38,1464882.13,平衡,64,1896614.19,0.026,0.106,10655,优,3,0.76,16,4,0.44,32.38,3278.53,693.44,482.87,212.78,225.64,779.03,1244.2,115.48,3855.71,1933.24,1213.76,2422.06,114.84,890.15,1366.42,2423.78,2102.21,445.77,3885.86,182.44,2858.57,4861.67,267.91,1759.2,56.5
U000159,45,女,合肥,教师,大专,已婚,18307.93,6665.8,8891.86,33865.59,22065.17,0.35,574635.14,2423052.86,11240.13,2275481.46,5284409.59,4840090.84,89439.12,314768.53,40111.1,444318.75,0.08,57313.48,17,47872.47,14777.37,235301.68,保守,59,1208732.07,0.016,0.117,10763,一般,17,0.51,6,11,0.68,47.62,2242.29,910.26,535.61,1353.77,2453.27,18.21,3302.18,73.5,1374.22,268.44,115.69,472.92,842.69,391.33,45.79,746.6,1898.77,394.32,198.92,476.9,40.45,1401.5,1428.55,723.58,355.43
U000160,41,女,宁波,市场营销,大专,已婚,8603.26,8872.95,1300.74,18776.95,15685.66,0.16,479602.12,323077.1,26899.94,1279397.24,2108976.4,1072617.36,23625.76,894182.04,118551.24,1036359.04,0.49,167234.88,14,92447.3,10091.83,1634883.96,稳健,57,4881568.5,0.048,0.088,12623,一般,4,0.17,14,3,0.62,74.49,634.81,1371.9,783.29,1204.01,716.2,419.56,2486.56,611.24,729.06,195.46,771.02,665.2,160.37,48.21,727.61,1132.03,581.53,201.81,861.74,65.52,457.56,139.97,160.0,177.35,383.65
U000161,62,女,长沙,退休人员,高中,离异,1375.9,6606.56,8607.92,16590.38,12648.18,0.24,448506.19,267997.32,56443.53,1435956.26,2208903.3,1568630.83,147163.33,423386.05,69723.09,640272.47,0.29,114935.65,32,15439.83,31557.54,1593515.55,稳健,69,3002674.37,0.014,0.078,10262,差,14,0.42,13,7,0.73,65.62,426.61,311.77,1180.61,101.46,455.25,41.38,47.69,551.13,539.34,1359.41,527.33,2076.37,32.25,66.65,29.12,132.39,503.51,670.17,30.15,1885.49,1192.85,227.33,51.9,120.3,87.71
U000162,52,男,杭州,制造业工人,大专,丧偶,16718.18,15746.54,5445.27,37909.990000000005,27222.3,0.28,543342.05,280419.85,465431.63,1722564.87,3011758.4000000004,1955990.94,74941.07,888244.7,92581.69,1055767.46,0.35,111017.54,26,66782.43,10966.07,811587.39,激进,66,989350.85,0.051,0.106,7079,一般,12,0.36,20,1,0.36,83.11,883.83,341.16,536.1,5509.76,1394.11,3597.75,185.96,582.17,978.26,96.56,5.07,1342.08,1241.41,639.58,813.3,649.17,29.38,493.95,235.65,125.28,3796.68,1105.96,1577.12,458.09,603.91
U000163,35,男,重庆,金融分析师,博士,丧偶,14018.95,3913.33,6815.17,24747.449999999997,18765.96,0.24,370679.67,2511311.73,152275.07,2829999.89,5864266.359999999,4269375.73,52167.24,1473870.46,68852.93,1594890.63,0.27,17857.48,0,91723.61,15567.93,1695273.49,平衡,64,780847.51,0.055,0.118,7665,差,0,0.66,22,3,0.9,86.27,949.33,672.75,470.6,383.12,1519.69,44.89,195.76,256.01,906.61,2909.54,163.65,1232.76,1055.46,151.25,302.98,313.3,2274.7,118.61,954.17,241.78,780.2,323.8,513.34,1062.48,969.18
U000164,32,女,福州,市场营销,硕士,丧偶,13759.63,4224.32,1734.1,19718.049999999996,13201.91,0.33,344361.38,2192651.94,180143.94,1251706.48,3968863.7399999998,2601764.69,32885.68,1309103.54,25109.83,1367099.05,0.34,2320.55,10,2356.17,21351.64,973402.67,平衡,68,4887387.62,0.017,0.068,13414,良,25,0.43,29,13,0.74,59.54,27.84,533.37,68.29,243.43,360.19,233.4,332.01,2564.28,65.79,509.61,228.32,64.63,78.28,1350.08,958.66,1075.79,2160.79,105.78,198.89,500.99,299.45,245.42,200.55,407.95,388.12
