用户ID,年龄,性别,所在城市,职业,教育程度,婚姻状况,月工资收入,经营性收入,被动收入,月总流入,月总流出,储蓄率,活期存款,理财产品,股票基金,房产估值,总资产,净资产,信用卡欠款,房贷余额,其他贷款,总负债,负债率,养老金账户余额,缴纳年限,住房公积金余额,商业保险年缴,保险保额,风险偏好,计划退休年龄,目标养老金,期望收益率下限,期望收益率上限,健康状况,平台月访问次数,策略采纳率,交互问答次数,个性化设置次数,反馈积极度,信任评分,餐饮消费,衣物消费,住房消费,交通消费,娱乐消费,教育培训消费,医疗保健消费,健身运动消费,旅行度假消费,数字产品消费,宠物消费,图书影音消费,美容护肤消费,线上购物消费,线下购物消费,奢侈品消费,家庭日用品消费,母婴消费,绿色环保消费,慈善捐赠消费
U000100,32,男,北京,律师,本科,丧偶,14166.49,14818.9,7594.93,36580.32,37809.22,-0.03,509030.78,1339701.23,79486.22,933369.28,2861587.51,2430079.05,57774.66,203474.73,170259.07,431508.46,0.15,175866.52,0,26060.6,25905.34,401453.55,激进,51,1622706.18,0.033,0.115,差,22,0.26,23,14,0.65,71.3,2402.96,580.67,2966.79,3606.78,494.24,6258.84,231.18,344.01,310.4,3421.15,1619.19,251.53,884.77,1456.27,132.86,3263.2,2481.19,1072.61,5206.06,824.52
U000101,33,女,大连,学生,本科,离异,11412.82,11737.6,3497.6,26648.019999999997,18167.47,0.32,563529.91,1984747.01,344425.27,855208.13,3747910.32,3344255.98,44841.62,244361.11,114451.61,403654.33999999997,0.11,192983.52,3,97106.98,20263.09,538167.16,积极,63,2809765.55,0.053,0.118,差,21,0.11,8,5,0.72,30.55,2041.22,532.86,169.12,12.12,783.85,716.09,1214.02,2111.13,79.05,1256.28,198.28,1866.11,1633.4,743.56,1183.49,360.57,608.69,1647.09,587.42,423.11
U000102,53,女,青岛,科研人员,大专,未婚,19884.92,5039.97,4666.98,29591.87,27774.87,0.06,684177.98,1449606.77,51156.05,1534541.15,3719481.9499999997,2276382.62,103327.45,1264925.93,74845.95,1443099.3299999998,0.39,129468.42,18,44771.39,3880.95,127674.11,积极,58,3382676.36,0.053,0.076,一般,20,0.34,4,7,0.93,82.35,1000.53,2585.9,599.29,280.17,1827.22,2566.61,155.69,402.58,224.75,627.68,878.46,2027.97,1545.78,1423.84,637.69,2703.26,935.46,5677.93,1475.92,198.12
U000103,32,男,西安,公务员,大专,离异,10862.88,8091.98,7367.32,26322.18,23466.54,0.11,616747.31,2121638.22,171583.52,2140107.87,5050076.92,3919219.24,78240.26,957470.38,95147.04,1130857.68,0.22,188133.59,5,76097.23,25024.41,1681277.39,积极,67,1315111.36,0.015,0.068,一般,8,0.68,35,5,0.96,88.47,1382.09,86.05,229.15,2307.99,307.21,2162.72,390.4,1227.46,1412.2,856.84,434.26,284.99,40.24,431.92,1262.28,3320.57,2443.18,1731.73,1851.62,1303.62
U000104,35,男,青岛,科研人员,高中,未婚,18563.04,5881.02,8512.14,32956.2,27527.27,0.16,563155.69,1604830.2,472150.49,213647.21,2853783.59,1822836.85,106731.13,750716.06,173499.55,1030946.74,0.36,76333.84,4,61966.09,26560.9,301556.9,积极,56,2042014.48,0.059,0.114,一般,14,0.21,11,2,0.64,71.02,367.64,2898.83,1354.62,1002.33,143.46,722.49,752.19,2437.9,964.65,583.71,4589.37,143.09,669.61,52.35,1642.18,3050.91,400.64,2383.12,421.45,2946.74
U000105,28,女,成都,教师,高中,离异,15816.43,11525.58,316.87,27658.88,27454.36,0.01,452256.42,310574.3,216855.71,214704.86,1194391.29,1052500.7,45476.7,95480.06,933.83,141890.59,0.12,106756.52,5,55965.21,399.79,644426.27,平衡,66,1357595.19,0.044,0.098,差,7,0.28,22,9,0.39,54.93,31.86,5771.94,2274.39,637.36,3100.84,579.73,3615.01,209.43,2132.81,1364.28,178.01,485.59,21.89,1109.17,628.59,1599.5,618.51,625.22,2383.72,86.52
U000106,55,男,深圳,科研人员,高中,未婚,20846.1,10482.35,4336.65,35665.1,33646.1,0.06,113721.02,3735520.93,245089.34,2250346.75,6344678.04,4795553.67,26381.36,1360341.35,162401.66,1549124.37,0.24,3824.95,14,109075.32,4789.01,1468153.24,保守,68,2770851.0,0.016,0.103,差,1,0.4,20,8,0.84,70.5,3141.7,2576.36,1484.7,1211.82,3002.22,276.15,110.83,368.86,2132.26,47.54,1177.76,7261.45,2608.02,992.89,88.59,2398.17,1231.02,164.49,132.78,3238.5
U000107,27,男,福州,金融分析师,大专,丧偶,16325.59,10945.65,948.79,28220.03,19092.64,0.32,396259.46,1481231.65,150558.23,330832.29,2358881.63,2114861.1,68898.23,53995.43,121126.87,244020.53,0.1,27432.7,0,76737.72,17357.31,565413.54,平衡,53,2739825.78,0.04,0.107,良,26,0.52,12,11,0.79,49.2,2268.07,910.86,782.59,604.52,409.39,612.41,1596.7,989.27,2395.54,629.23,1003.3,1071.63,962.03,1302.54,291.12,771.33,118.21,521.25,718.27,1134.36
U000108,19,男,青岛,公务员,硕士,离异,13303.28,4534.4,1670.46,19508.14,18230.57,0.07,73080.8,175661.21,255852.67,361781.81,866376.49,760052.45,8913.56,51178.42,46232.06,106324.04,0.12,0.0,0,0.0,1287.06,1626356.83,保守,51,4335119.09,0.028,0.101,一般,13,0.69,6,1,0.31,39.0,3416.24,1043.05,1546.52,801.97,1142.46,83.6,333.57,510.42,726.78,53.09,171.41,368.27,4044.16,457.36,747.54,248.03,1072.24,374.36,263.54,825.94
U000109,48,女,苏州,程序员,高中,离异,16672.37,2276.64,4002.5,22951.51,19010.03,0.17,651852.51,2345668.27,239122.51,1265219.46,4501862.75,4095818.25,129374.09,250168.09,26502.32,406044.5,0.09,145282.22,5,15556.97,31346.2,965349.7,平衡,68,3552769.11,0.019,0.083,优,11,0.59,4,15,0.94,37.34,1544.17,807.8,684.13,330.65,2555.11,481.46,86.72,913.58,115.02,403.03,673.92,1973.21,647.5,1153.08,4697.87,134.17,305.72,477.61,521.45,503.82
U000110,54,女,青岛,律师,本科,离异,16543.53,15350.57,5766.49,37660.59,33235.7,0.12,821432.27,2478424.13,169150.32,1569309.53,5038316.25,4652418.72,110691.67,142863.21,132342.65,385897.53,0.08,49715.4,22,99556.6,23218.84,297308.9,保守,67,4514278.47,0.041,0.061,良,5,0.5,15,15,0.91,34.87,4560.21,2396.91,1792.59,708.72,3323.99,5940.08,3296.03,3.0,1937.06,100.5,570.33,117.5,1772.63,2221.46,232.8,927.16,1166.48,881.76,246.99,1039.49
U000111,42,男,苏州,公务员,博士,丧偶,16006.23,8065.54,2350.0,26421.77,21918.11,0.17,576908.13,1389105.62,428294.61,1341204.36,3735512.7199999997,2842871.38,15906.72,746060.02,130674.6,892641.34,0.24,20528.66,13,5374.79,17900.62,1651817.52,平衡,69,4834270.62,0.042,0.113,差,17,0.27,14,10,0.55,33.53,97.82,512.84,3327.14,1292.59,1328.81,525.88,1054.08,11.92,1183.18,2861.95,1109.86,2421.78,1506.68,150.37,2724.16,80.47,893.65,179.44,13.78,641.69
U000112,21,男,苏州,金融分析师,博士,已婚,12430.56,10.98,710.28,13151.82,12057.99,0.08,407955.48,1122765.69,186945.18,53161.11,1770827.46,1425462.61,82512.69,98484.43,164367.73,345364.85,0.2,0.0,0,0.0,16065.4,375086.8,积极,62,1470152.77,0.051,0.071,优,10,0.19,26,1,0.95,84.44,227.95,433.93,561.28,29.16,85.58,533.28,274.06,851.7,688.77,1218.1,768.88,366.43,728.74,210.02,238.46,1014.41,385.56,1044.11,1126.89,1270.66
U000113,36,女,福州,退休人员,本科,已婚,14797.07,11064.53,4328.1,30189.699999999997,26946.13,0.11,610084.78,2187028.19,455090.74,2075453.14,5327656.85,4062894.5,21185.33,1222866.23,20710.79,1264762.35,0.24,131504.36,9,132404.38,15526.59,769325.28,稳健,69,4621596.09,0.048,0.076,良,30,0.37,18,14,0.86,38.98,816.99,1856.86,986.99,1955.22,2601.55,2480.88,998.46,388.4,1197.94,327.32,4698.06,903.08,356.97,54.84,2208.35,2155.43,886.0,158.32,1121.25,793.23
U000114,40,女,成都,自由职业,本科,已婚,18432.42,13732.23,9211.92,41376.57,27570.69,0.33,497277.51,2925538.48,88906.35,1627474.44,5139196.78,3838718.62,82794.07,1065529.09,152155.0,1300478.1600000001,0.25,112456.04,18,85595.73,21349.03,834955.87,保守,67,1786675.91,0.052,0.108,一般,16,0.19,12,4,0.34,33.68,1822.67,1500.81,731.17,396.25,7135.83,975.67,1879.36,244.21,1071.76,45.02,1135.25,5360.47,781.72,64.13,50.7,791.64,281.16,38.1,2275.71,989.08
U000115,34,女,西安,科研人员,本科,已婚,16482.76,646.13,8140.26,25269.15,16456.28,0.35,555542.64,1996629.7,432420.74,2227238.21,5211831.29,4632346.72,66229.93,356393.21,156861.43,579484.5700000001,0.11,159764.35,4,103940.41,1418.79,763165.26,稳健,63,4805158.87,0.059,0.079,一般,17,0.14,16,6,0.73,80.76,83.55,2112.76,255.03,1484.11,625.14,1186.26,2799.2,230.28,2198.0,333.96,329.57,281.61,527.62,113.3,546.03,528.06,971.24,1213.93,392.95,243.65
U000116,27,男,郑州,医生,硕士,丧偶,12513.56,3739.53,347.59,16600.68,14225.51,0.14,215002.99,1006993.36,278299.31,65033.27,1565328.9300000002,1387478.59,60734.55,51003.23,66112.56,177850.34,0.11,141937.86,1,5991.09,26094.45,1193760.66,保守,70,3270239.04,0.043,0.089,一般,18,0.54,4,10,0.67,92.2,214.08,154.35,42.34,298.96,224.67,2420.15,581.75,304.22,619.43,106.89,418.65,701.8,478.64,366.4,3630.52,1513.88,696.42,600.82,691.24,160.3
U000117,29,女,郑州,学生,博士,丧偶,12404.07,13266.69,662.13,26332.890000000003,19665.06,0.25,560681.88,1514787.47,237428.59,280667.34,2593565.28,1515440.27,81230.45,973950.17,22944.39,1078125.01,0.42,69201.46,3,135674.47,17613.22,1242263.4,积极,51,3571481.12,0.026,0.115,优,30,0.19,16,9,0.32,63.6,459.62,557.71,184.05,2367.95,1710.53,912.02,542.84,1452.79,99.71,1113.16,94.95,1125.85,229.77,1492.9,2053.26,114.73,442.36,2822.03,470.38,1418.46
U000118,29,女,福州,教师,博士,已婚,13482.15,6406.26,164.69,20053.1,12993.97,0.35,573260.97,1894630.37,266602.91,313466.54,3047960.79,2038289.63,22764.4,944271.73,42635.03,1009671.16,0.33,137081.04,1,30836.94,23785.09,1757274.46,平衡,63,3409525.22,0.057,0.105,差,4,0.12,21,1,0.36,33.53,510.78,270.5,193.49,130.6,824.74,280.91,411.59,389.72,494.99,1153.64,2270.58,300.97,1010.33,831.36,489.92,1796.28,128.62,66.52,1106.0,332.45
U000119,32,女,杭州,自由职业,本科,未婚,16180.67,8660.5,168.91,25010.079999999998,23425.68,0.06,331597.31,1667699.14,309174.68,2267881.79,4576352.92,3443752.67,66759.31,1051323.05,14517.89,1132600.25,0.25,185609.55,1,43475.49,20302.01,1213131.68,激进,59,3943734.08,0.032,0.084,良,21,0.12,10,7,0.4,55.41,978.74,2592.07,19.18,643.7,1156.37,1274.42,1171.79,143.44,353.52,441.42,1621.36,324.68,235.09,3136.7,8.85,6089.35,1122.27,1751.64,346.77,14.33
U000120,18,男,南京,教师,大专,丧偶,2778.83,2863.59,788.16,6430.58,5618.8,0.13,40860.89,399100.49,370715.24,362968.67,1173645.29,804018.53,18209.38,181125.61,170291.77,369626.76,0.31,0.0,0,0.0,21202.61,388652.43,平衡,55,3519400.6,0.038,0.063,一般,24,0.85,35,14,0.75,34.75,376.95,505.81,379.76,43.4,394.18,412.45,302.52,409.05,526.55,267.71,26.12,188.26,22.76,147.38,147.17,19.23,120.77,33.12,464.95,830.67
U000121,21,女,福州,教师,大专,未婚,6519.16,500.23,1239.03,8258.42,8671.83,-0.05,162070.83,923824.26,308171.22,152837.74,1546904.05,1307151.33,53743.63,113110.4,72898.69,239752.72,0.15,0.0,0,0.0,8237.55,1571320.22,平衡,70,2462558.3,0.052,0.068,良,23,0.37,30,14,0.61,80.36,35.69,309.86,706.1,547.91,22.99,33.78,230.09,156.17,118.01,147.21,726.01,1181.74,231.76,1055.61,173.08,288.75,114.33,456.48,1723.48,412.79
U000122,49,女,天津,市场营销,高中,已婚,18439.88,5264.69,8863.36,32567.93,20785.87,0.36,59565.97,64274.52,253589.16,93582.69,471012.34,-340816.41,86119.79,607701.7,118007.26,811828.75,1.72,181260.72,17,39092.45,31021.31,1079354.23,激进,70,3988387.57,0.028,0.073,良,24,0.57,9,4,0.63,63.18,533.08,1256.16,157.87,2642.25,841.77,718.18,1061.11,1179.9,89.65,1381.39,333.4,1506.51,2081.13,1961.3,967.85,883.89,185.57,1797.32,381.14,826.39
U000123,48,女,南京,制造业工人,博士,已婚,15515.86,8924.41,1791.45,26231.72,28182.2,-0.07,514342.38,3290300.9,367959.9,1450510.25,5623113.43,5144972.17,52384.15,328228.68,97528.43,478141.26,0.09,12572.23,11,35102.8,22999.34,1035770.46,积极,61,2246418.99,0.056,0.113,差,1,0.88,10,3,0.79,63.89,2306.72,129.76,3207.6,887.61,0.31,1662.36,111.46,750.74,2851.3,150.38,4247.22,8.89,658.43,3137.14,883.13,249.63,1037.51,732.28,4296.52,873.22
U000124,27,女,宁波,律师,博士,已婚,12172.15,10333.26,752.66,23258.07,24505.2,-0.05,294331.92,829310.32,433859.71,243430.78,1800932.73,1529583.68,50139.45,120842.2,100367.4,271349.05,0.15,27793.66,1,34498.61,14458.61,561619.02,积极,54,1341075.54,0.028,0.103,优,3,0.63,26,10,0.8,61.3,1423.84,2036.06,520.66,2203.44,433.6,3044.71,85.61,1063.24,623.19,448.91,916.78,1113.85,4.0,167.2,1142.7,1004.8,3096.31,1310.22,2756.28,1109.79
U000125,28,男,大连,科研人员,博士,离异,11747.04,11469.73,322.26,23539.03,21532.8,0.09,22730.7,1373446.32,27956.0,129129.82,1553262.84,1222659.69,19083.98,191647.67,119871.5,330603.15,0.21,112720.94,0,131776.35,20674.47,1642606.62,稳健,52,1474670.38,0.04,0.088,一般,15,0.24,26,4,0.86,83.33,1728.1,1172.81,56.06,506.66,3566.31,787.69,643.5,694.59,265.96,522.12,524.11,61.04,1656.25,611.49,1960.26,2156.01,270.43,1215.73,725.53,2408.15
U000126,65,男,郑州,企业管理,大专,丧偶,20051.78,11811.92,2298.14,34161.84,27081.15,0.21,103141.61,859981.33,429795.85,1513078.58,2905997.37,2586832.76,75563.1,224341.79,19259.72,319164.61,0.11,95173.84,39,89972.07,34671.23,1062859.9,积极,53,919354.85,0.043,0.114,一般,17,0.76,20,13,0.67,54.07,450.17,2098.13,1733.63,648.33,272.08,1953.44,2485.42,702.55,1917.59,931.31,2313.7,411.55,4092.49,627.7,849.4,110.86,219.02,1343.74,576.89,3343.16
U000127,45,女,大连,自由职业,硕士,已婚,16314.2,1954.34,1338.83,19607.370000000003,16442.16,0.16,174384.67,2791923.05,141633.33,2630298.94,5738239.99,5255668.16,57210.54,283531.52,141829.77,482571.82999999996,0.08,157884.5,18,78381.09,17412.02,750059.76,积极,56,3594950.32,0.026,0.082,差,4,0.44,18,8,0.48,64.85,553.19,422.04,616.78,736.69,8.13,508.24,2697.15,596.36,922.12,304.53,1211.68,1207.83,600.2,3039.23,109.31,13.93,1197.97,1340.97,104.34,251.49
U000128,34,女,广州,教师,本科,已婚,11816.95,11098.23,2537.78,25452.96,19174.39,0.25,220388.03,1904835.44,367891.22,2564996.77,5058111.459999999,3769275.81,77795.38,1121721.29,89318.98,1288835.65,0.25,139862.29,2,15041.79,15351.98,1572162.25,平衡,67,3263114.15,0.044,0.063,优,12,0.87,0,2,0.88,60.66,19.33,378.91,1619.1,796.47,466.99,507.31,1.48,388.98,1134.85,3991.64,2049.44,26.06,2497.57,1668.59,1654.47,668.5,553.92,393.85,74.17,282.77
U000129,42,女,天津,科研人员,硕士,丧偶,16090.24,18613.7,4006.45,38710.39,35926.63,0.07,206257.85,2986942.45,28731.52,2320825.36,5542757.18,4775576.2,23486.33,741552.57,2142.08,767180.9799999999,0.14,170113.53,16,42900.98,1095.66,1199029.83,激进,66,3643023.8,0.041,0.1,良,11,0.29,0,5,0.36,47.94,1914.93,893.5,82.91,4404.35,3979.63,2140.19,6606.53,1094.2,4578.99,109.4,633.43,355.38,303.28,211.18,1355.3,2115.35,1201.53,221.19,2319.23,1406.12
U000130,37,女,西安,学生,本科,丧偶,10470.43,18383.55,5495.93,34349.91,33081.35,0.04,374606.29,1661357.38,173737.54,2446544.64,4656245.85,3092647.7,28060.64,1444585.71,90951.8,1563598.15,0.34,80791.29,0,39166.13,12661.89,212929.91,积极,52,2764261.25,0.027,0.067,优,16,0.87,34,8,0.79,92.79,942.36,2150.71,577.31,812.16,4785.3,658.3,1217.73,4236.29,2359.38,123.19,305.65,15.1,1911.88,1138.63,276.57,6077.6,1446.84,531.19,1331.86,2183.3
U000131,40,男,南京,律师,大专,已婚,15429.88,1351.09,6336.62,23117.589999999997,25362.29,-0.1,473839.08,689790.42,157865.35,2866337.06,4187831.91,3939666.16,67145.55,14584.79,166435.41,248165.75,0.06,49651.52,2,59839.6,23961.22,683985.76,稳健,67,4691283.08,0.034,0.081,一般,28,0.56,5,6,0.65,42.98,1333.65,499.09,641.27,459.77,36.4,146.93,478.17,190.28,41.57,1504.54,3221.65,1277.57,1558.88,224.62,2622.62,177.81,2452.42,4267.01,1008.48,3219.55
U000132,27,女,长沙,退休人员,大专,丧偶,12327.66,2397.57,156.98,14882.21,16041.38,-0.08,280818.97,15565.64,428544.67,478996.55,1203925.83,978410.04,88193.1,74239.31,63083.38,225515.79,0.19,179624.24,4,130315.33,13791.63,1968789.37,保守,66,1761199.8,0.021,0.095,差,1,0.52,27,15,0.96,32.12,496.26,176.91,338.22,530.07,44.68,573.31,2338.96,124.14,926.16,1404.1,1693.9,1897.13,433.92,2228.87,833.66,103.82,381.5,745.97,167.29,602.51
U000133,26,女,长沙,律师,大专,已婚,10330.69,236.4,421.5,10988.59,9785.38,0.11,182244.27,1409389.62,129850.38,274281.7,1995765.97,1754691.9,24188.19,94269.07,122616.81,241074.07,0.12,73184.83,3,63591.43,11650.78,1504391.53,积极,61,4344467.39,0.024,0.071,优,4,0.88,14,3,0.8,82.27,579.38,1027.63,480.8,8.47,6.32,307.33,1813.64,180.68,700.12,174.75,270.08,1311.11,908.19,69.77,389.57,20.6,456.23,755.7,87.77,237.23
U000134,33,男,合肥,制造业工人,博士,已婚,16017.22,2689.43,8932.7,27639.35,25299.02,0.08,336409.03,836677.21,243310.1,752922.1,2169318.44,1978373.29,99586.23,71563.96,19794.96,190945.15,0.09,32668.38,3,122072.71,14248.53,1259724.42,平衡,64,3850669.49,0.023,0.082,一般,17,0.85,16,11,0.31,37.88,496.11,2464.64,4889.36,44.94,1399.94,454.59,487.41,1372.73,2451.3,2948.39,841.8,432.11,1515.08,282.68,812.08,434.33,1045.51,268.93,208.03,2449.06
U000135,34,女,合肥,市场营销,硕士,丧偶,14842.82,9749.87,7365.26,31957.950000000004,33390.18,-0.04,243885.44,773613.66,315856.1,434545.01,1767900.2100000002,469072.92,19773.91,1211575.72,67477.66,1298827.2899999998,0.73,126254.68,9,60715.91,27393.61,158223.85,稳健,60,1526980.73,0.026,0.077,良,8,0.58,25,8,0.92,80.76,392.86,62.51,57.75,303.26,3173.16,522.57,4730.51,1371.74,903.28,1365.98,1144.65,2238.61,522.61,685.56,3534.48,4608.2,3511.82,856.03,2386.21,1018.38
U000136,48,男,北京,程序员,本科,离异,14738.18,14555.45,6620.23,35913.86,38435.68,-0.07,546543.6,272220.11,83455.23,309027.94,1211246.88,-225790.02,9313.69,1318036.46,109686.75,1437036.9,1.19,5272.98,12,78597.42,34262.87,207856.81,积极,69,1198734.63,0.043,0.113,差,9,0.28,9,14,0.74,38.53,1419.39,472.3,1844.48,424.77,830.75,3982.87,478.52,152.24,147.47,5829.38,1458.26,1086.11,3434.57,3726.31,832.68,2439.6,3041.08,2192.69,339.04,4303.16
U000137,64,男,宁波,学生,硕士,离异,15464.24,18697.15,5485.45,39646.84,26466.54,0.33,891576.96,2265007.79,295415.46,1369630.26,4821630.47,3285388.16,133306.27,1315940.57,86995.47,1536242.31,0.32,127957.3,34,46449.2,13609.0,1079336.24,保守,52,2488371.38,0.028,0.076,差,9,0.11,16,4,0.54,60.5,829.49,57.36,204.93,2172.65,0.02,807.08,1107.24,84.16,5414.5,383.97,543.26,542.71,392.3,2.21,1957.57,5102.59,380.43,1629.39,2028.7,2825.98
U000138,55,女,深圳,科研人员,硕士,丧偶,19958.96,4624.31,72.18,24655.45,19399.45,0.21,349975.49,2102078.84,197376.04,489808.49,3139238.8600000003,2361043.49,117938.86,584584.9,75671.61,778195.37,0.25,52596.06,27,93798.45,18856.27,1599918.14,平衡,69,4134087.23,0.044,0.077,差,17,0.75,13,6,0.9,41.86,492.73,323.72,352.97,1118.59,1522.36,179.79,415.81,2083.12,1474.29,3758.94,1258.96,448.12,801.21,970.43,73.29,705.4,1108.34,164.26,1360.83,786.29
U000139,26,女,成都,律师,本科,丧偶,15151.35,3042.99,1939.43,20133.77,12303.05,0.39,544506.26,648863.44,62519.6,219208.32,1475097.62,1453276.43,836.82,18039.4,2944.97,21821.190000000002,0.01,43437.62,3,46736.5,22225.05,1995926.89,保守,64,3636206.61,0.012,0.065,优,24,0.86,3,8,0.84,34.64,195.21,695.46,789.65,60.02,400.24,394.6,255.76,1499.39,975.23,662.98,695.27,343.71,1408.54,658.21,724.5,1097.8,177.75,913.1,120.54,235.09
U000140,59,女,青岛,程序员,大专,离异,15290.76,7695.96,9749.72,32736.440000000002,23687.47,0.28,885136.51,786760.51,367661.39,281880.91,2321439.3200000003,1819054.71,111889.32,312670.7,77824.59,502384.61,0.22,192242.78,20,23791.72,27454.54,1489449.16,激进,67,2844168.14,0.023,0.098,优,6,0.39,1,6,0.98,45.34,393.76,3698.81,1869.85,1163.2,1250.46,795.16,2830.45,660.33,461.16,171.39,1485.67,1276.88,467.14,24.57,1758.77,11.06,1171.39,3385.13,554.36,257.94
U000141,29,女,天津,个体商户,大专,离异,16471.15,178.6,83.99,16733.74,16595.48,0.01,280409.7,1460720.1,185699.33,44739.95,1971569.08,1693706.35,17031.43,137102.33,123728.97,277862.73,0.14,186169.76,0,8966.27,18499.3,1402656.28,保守,53,1066223.56,0.022,0.119,差,25,0.62,22,14,0.81,31.39,643.53,2777.54,43.18,572.05,1031.68,1615.87,160.8,1310.06,654.88,411.14,114.96,1631.76,139.28,301.79,278.83,1669.59,909.12,1296.65,234.67,798.1
U000142,54,男,福州,退休人员,硕士,已婚,20525.62,5894.29,6970.38,33390.29,23202.51,0.31,156766.45,1286359.31,366201.21,825973.39,2635300.36,1021332.06,131353.24,1371711.0,110904.06,1613968.3,0.61,13775.32,9,67407.63,29662.95,1083211.9,激进,64,503239.23,0.042,0.083,差,5,0.81,19,11,0.84,45.52,1277.11,2693.77,3562.17,18.42,1688.05,80.16,1198.7,510.76,551.79,655.61,1462.27,612.23,1986.93,780.69,106.62,2306.17,506.8,853.85,1741.78,608.63
U000143,48,女,广州,金融分析师,高中,离异,17132.31,12260.78,3226.0,32619.090000000004,30024.31,0.08,86162.02,1778881.83,33339.92,2505580.07,4403963.84,3034361.82,18947.04,1310239.17,40415.81,1369602.02,0.31,97074.06,3,4772.57,22076.26,777197.64,激进,65,2866196.13,0.045,0.075,差,11,0.28,2,0,0.95,43.57,4101.31,1456.49,1579.48,1419.54,314.84,768.85,1972.38,151.66,461.9,458.89,802.64,5577.25,99.17,1037.61,280.49,5007.89,170.63,733.36,1899.89,1730.05
U000144,46,男,福州,企业管理,博士,离异,15555.14,16472.86,2658.16,34686.16,21516.75,0.38,53494.98,1002885.01,472301.74,2881760.24,4410441.970000001,3202560.93,13790.93,1087757.9,106332.21,1207881.0399999998,0.27,37892.08,16,98531.48,19266.94,1895006.69,稳健,67,3871374.61,0.031,0.066,差,20,0.56,14,13,0.92,40.84,754.73,584.41,696.23,421.57,315.7,906.31,429.54,465.55,1468.84,4751.32,1271.19,110.03,107.96,4154.7,484.63,132.67,1255.37,1342.36,1436.21,427.42
U000145,61,女,北京,学生,本科,已婚,22634.19,11001.63,9968.5,43604.32,44582.23,-0.02,375232.4,2564625.33,413077.49,970352.76,4323287.9799999995,3388431.73,41404.28,818439.36,75012.61,934856.25,0.22,110047.74,16,54001.28,17327.05,1919648.86,保守,50,3768409.75,0.059,0.096,优,16,0.21,9,0,0.51,44.42,2662.48,2044.38,814.79,686.54,1976.76,4365.31,6366.7,243.04,365.22,6286.77,2895.91,4658.19,491.63,1923.02,2622.23,2474.6,1138.76,33.68,1898.62,633.59
U000146,38,女,深圳,退休人员,大专,未婚,12155.21,2768.16,3670.83,18594.199999999997,16568.88,0.11,158436.02,2352115.29,45952.56,1199394.75,3755898.62,2394130.47,115653.11,1101398.93,144716.11,1361768.15,0.36,158580.84,5,73241.46,28229.36,1405695.79,积极,53,3178540.41,0.025,0.104,优,18,0.41,3,10,0.54,83.11,486.15,2567.81,413.77,1488.07,169.76,906.93,3065.43,87.32,6.79,461.88,78.98,1121.21,1998.74,462.51,243.25,463.06,1044.43,7.39,723.39,772.0
U000147,26,男,宁波,市场营销,大专,丧偶,9323.21,6386.33,1129.83,16839.37,12855.44,0.24,390750.45,352354.21,336817.62,498683.65,1578605.9300000002,1213940.82,99046.1,150568.04,115050.97,364665.11,0.23,18016.59,3,43467.45,10962.16,264378.09,积极,52,2641345.94,0.047,0.093,良,8,0.17,32,13,0.84,38.47,869.87,66.59,154.41,1458.69,932.56,9.62,198.38,167.67,219.43,197.63,44.86,426.77,916.81,648.44,776.38,58.8,2102.5,1266.78,1136.17,1203.08
U000148,44,男,上海,律师,博士,已婚,18869.12,4924.92,716.44,24510.48,24225.81,0.01,239324.61,2957241.86,44797.32,2015242.66,5256606.449999999,4611548.39,58448.6,522461.79,64147.67,645058.06,0.12,118775.43,0,115452.19,5619.27,699432.8,平衡,64,3304319.7,0.032,0.115,优,7,0.26,11,4,0.83,85.43,3207.24,933.88,265.61,1139.87,1614.13,1591.4,875.85,84.28,551.19,3013.06,1043.61,918.54,372.14,546.17,2682.37,1304.88,1840.0,719.9,1182.38,339.33
U000149,27,女,南京,科研人员,本科,未婚,11582.42,6102.36,942.38,18627.16,14267.26,0.23,421807.4,497906.99,273212.11,375177.57,1568104.07,1187960.03,57075.21,124608.4,198460.43,380144.04,0.24,139014.23,5,2758.28,16382.44,1327056.68,保守,51,1649553.55,0.013,0.072,一般,22,0.59,3,14,0.76,30.54,542.95,973.61,2558.1,61.46,1618.05,321.34,545.24,20.59,332.78,648.91,53.72,627.61,2433.17,103.48,1343.31,489.71,989.24,280.06,161.43,162.51
U000150,52,女,上海,科研人员,本科,丧偶,23558.13,4623.37,3807.01,31988.510000000002,34813.29,-0.09,81675.04,1135641.49,433386.37,1594681.94,3245384.84,2374103.08,28708.28,750976.23,91597.25,871281.76,0.27,185269.99,0,5962.86,32832.82,609855.05,保守,65,2270299.18,0.018,0.081,一般,11,0.38,9,7,1.0,93.61,131.06,368.2,1956.64,3826.96,3016.97,2071.95,209.81,612.02,664.8,515.7,1297.41,1375.03,791.47,782.85,3161.86,2792.13,659.58,4394.43,5475.09,709.34
U000151,31,男,合肥,医生,本科,未婚,14457.68,17943.51,6569.32,38970.509999999995,25093.01,0.36,233146.34,2449544.52,306224.2,1876573.8,4865488.86,4448925.89,25471.93,360541.21,30549.83,416562.97000000003,0.09,194107.43,9,49392.71,15887.45,413514.55,激进,54,3114638.15,0.044,0.072,优,4,0.35,33,4,0.6,89.09,3539.7,2612.1,135.25,623.37,1007.35,874.13,269.33,2446.69,1412.15,2274.09,2446.22,1724.37,722.88,1178.55,218.45,1399.46,246.88,1479.74,326.0,156.29
